ID,Title,Description,Type (Tier 1 Category),Category (Tier 2 Category) (1) 2
FN1," ""Form & Soil Preparation (FN1)""
","Set foundation slab forms accurately per blueprint; compact foundation sub-soil thoroughly with moisture and tamper (CN31, CN32).",structural,foundation
FN2,Foundation Utilities Installation & Inspection (FN2),"Install foundation stub plumbing (with foam collars, termite shields) and HVAC gas lines; inspect utility placement and integrity (CN33–35).",structural,foundation
FN3,Foundation Base & Reinforcement (FN3),"Prepare foundation base with crushed stone; install vapor barrier, reinforcing wire mesh, and perimeter insulation (CN36–39).",structural,foundation
FN4,Foundation Concrete Scheduling & Pre-Pour Inspection (FN4),"Schedule foundation concrete delivery and confirm finishers; inspect foundation forms and utility alignment before pour (CN40, CN41).",structural,foundation
FN5,"Foundation Slab Pour, Finish & Final Inspection (FN5)","Pour foundation slab promptly, complete professional finish; inspect slab smoothness, drainage, and correct defects (CN42–44).",structural,foundation
FN6,"
Foundation Concrete Payment (FN6)"," Pay concrete supplier upon satisfactory foundation slab inspection (CN45).",structural,foundation
,,,,
,,,,
,,,,
-RF 1 -,"Roofing Prep: Shingle Selection, Bidding & Ordering (RF 1)","Select shingle style, color, and material; bid labor/materials; order shingles/felt; verify specifications with roofer. (RF1–RF3)",structural,roofing
-RF 2 -,Roofing Edge Protection: Drip Edge & Flashing Installation (RF 2),"Install 3"" metal drip edges on eaves (under felt) and rake edges (over felt), plus necessary flashing at walls/valleys. (RF4 & RF6)",structural,roofing
-RF 3 -,Roofing Application: Felt & Shingle Installation (RF 3),"Immediately after roof-deck inspection, install roofing felt; then install shingles starting appropriately based on roof width and weather conditions. (RF5 & RF7)",structural,roofing
-RF 4 -,Roofing Wrap-Up: Gutter Coordination (RF 4),Coordinate gutter installation to follow immediately after roofing completion. (RF7A),structural,roofing
-RF 5 -,Roofing Closeout: Inspection & Subcontractor Payment (RF 5),"Conduct thorough roofing inspection according to checklist/specifications; pay roofing subcontractor after obtaining signed affidavit, deduct worker's compensation if applicable. (RF8 & RF9)",structural,roofing
PL1,Fixture Selection and Special Item Ordering (PL1),"Determine type and quantity of plumbing fixtures (styles and colors), including: sinks (kitchen, baths, utility, wet bar, etc.), shower fixtures, toilets and toilet seats, exterior water spigots, water heater, garbage disposal, septic tank, sauna or steam room, water softener, refrigerator ice maker, and any other plumbing-related appliance. Order special plumbing fixtures well in advance, as supply houses rarely stock large quantities. (PL1 & PL4)",systems,plumbing
PL2,Bidding Management and Material Confirmation (PL2),"Conduct a standard bidding process. Shop prices carefully, as bids may vary significantly depending on material selections and the subcontractor’s pricing method. Decide on the type of piping to be used during this step. (PL2)",systems,plumbing
PL3,Coordination of Site Walkthrough and Utility Planning (PL3),"Walk through the site with the plumber to confirm placement of plumbing systems and any special fixtures. Account for exterior finish (e.g., brick veneer), as this affects the extension of exterior faucets. Also, mark the location of all fixtures (sinks, tubs, showers, toilets, outdoor spigots, wet bars, icemakers, utility tubs, washers, and water heater). Note vanity vs. pedestal sinks, drain end of tubs, and wall/ceiling areas to avoid for pipe runs (e.g., recessed lights or medicine cabinets). Apply for water connection and sewer tap, pay any required tap fee, and record the water meter number. Ask the plumber for a garden hose adapter for the water main. (PL3, PL5 & PL8)",systems,plumbing
PL4,Stub Plumbing and Large Fixture Placement Before Framing (PL4),"Install stub plumbing before concrete slab is poured—after batter boards and strings are set—and confirm sewer line location. Place all large fixtures (e.g., large tubs, fiberglass shower stalls, hot tubs) before framing begins to avoid clearance issues. Consider chaining expensive fixtures to studs or pipes for security. (PL6 & PL7)",systems,plumbing
PL5,"Rough-In Plumbing Installation, Protection, and Testing Oversight (PL5)","Install rough-in plumbing: hot (left) and cold (right) water lines, sewer, and vent pipe. Pipes should run through drilled holes in studs (not notched), with all required supports in place. Use FHA metal straps to protect pipes from being punctured by drywall nails at cut-outs. Exterior spigots should not be located near pipe penetrations through the exterior wall—this prevents leaks from freezing or failure. Extend spigots outward to accommodate brick veneer. Conduct air-pressure testing on water pipes to ensure no leaks. Install the water meter and spigot early to provide masons with a water source. Mark pipe locations (especially water and gas lines) to avoid damage during digging. (PL9, PL10, PL11 & PL13)",systems,plumbing
PL6,"Rough-In Inspection, Corrections, and Payment Authorization (PL6)","Schedule the plumbing inspector and be present during the inspection. No plumbing should be concealed before a rough-in certificate is issued. Use this opportunity to understand any required corrections and assess the plumber's workmanship. Correct any problems found using the power of county enforcement and leverage (i.e., plumber hasn’t been paid yet). Once approved, pay the plumber for rough-in and obtain a signed receipt or equivalent documentation. (PL12, PL14, PL15 & PL16)",systems,plumbing
